;Date;^FTSE;^GSPC
01/06/2021;737942.0;7080.5;4202.0400390625
02/06/2021;737943.0;7108.0;4208.1201171875
03/06/2021;737944.0;7064.39990234375;4192.85009765625
04/06/2021;737945.0;7069.0;4229.89013671875
07/06/2021;737948.0;7077.2001953125;4226.52001953125
08/06/2021;737949.0;7095.10009765625;4227.259765625
09/06/2021;737950.0;7081.0;4219.5498046875
10/06/2021;737951.0;7088.2001953125;4239.18017578125
11/06/2021;737952.0;7134.10009765625;4247.43994140625
14/06/2021;737955.0;7146.7001953125;4255.14990234375
15/06/2021;737956.0;7172.5;4246.58984375
16/06/2021;737957.0;7185.0;4223.7001953125
17/06/2021;737958.0;7153.39990234375;4221.85986328125
18/06/2021;737959.0;7017.5;4166.4501953125
21/06/2021;737962.0;7062.2998046875;4224.7900390625
22/06/2021;737963.0;7090.0;4246.43994140625
23/06/2021;737964.0;7074.10009765625;4241.83984375
24/06/2021;737965.0;7110.0;4266.490234375
25/06/2021;737966.0;7136.10009765625;4280.7001953125
28/06/2021;737969.0;7073.0;4290.60986328125
29/06/2021;737970.0;7087.60009765625;4291.7998046875
30/06/2021;737971.0;7037.5;4297.5
01/07/2021;737972.0;7125.2001953125;4319.93994140625
02/07/2021;737973.0;7123.2998046875;4352.33984375
05/07/2021;737976.0;7164.89990234375;
06/07/2021;737977.0;7100.89990234375;4343.5400390625
07/07/2021;737978.0;7151.0;4358.1298828125
08/07/2021;737979.0;7030.7001953125;4320.81982421875
09/07/2021;737980.0;7121.89990234375;4369.5498046875
12/07/2021;737983.0;7125.39990234375;4384.6298828125
13/07/2021;737984.0;7124.7001953125;4369.2099609375
14/07/2021;737985.0;7091.2001953125;4374.2998046875
15/07/2021;737986.0;7012.0;4360.02978515625
16/07/2021;737987.0;7008.10009765625;4327.16015625
19/07/2021;737990.0;6844.39990234375;4258.490234375
20/07/2021;737991.0;6881.10009765625;4323.06005859375
21/07/2021;737992.0;6998.2998046875;4358.68994140625
22/07/2021;737993.0;6968.2998046875;4367.47998046875
23/07/2021;737994.0;7027.60009765625;4411.7900390625
26/07/2021;737997.0;7025.39990234375;4422.2998046875
27/07/2021;737998.0;6996.10009765625;4401.4599609375
28/07/2021;737999.0;7016.60009765625;4400.64013671875
29/07/2021;738000.0;7078.39990234375;4419.14990234375
30/07/2021;738001.0;7032.2998046875;4395.259765625
02/08/2021;738004.0;7081.7001953125;4387.16015625
03/08/2021;738005.0;7105.7001953125;4423.14990234375
04/08/2021;738006.0;7123.89990234375;4402.66015625
05/08/2021;738007.0;7120.39990234375;4429.10009765625
06/08/2021;738008.0;7123.0;4436.52001953125
09/08/2021;738011.0;7132.2998046875;4432.35009765625
10/08/2021;738012.0;7161.0;4436.75
11/08/2021;738013.0;7220.10009765625;4442.41015625
12/08/2021;738014.0;7193.2001953125;4460.830078125
13/08/2021;738015.0;7218.7001953125;4468.0
16/08/2021;738018.0;7154.0;4479.7099609375
17/08/2021;738019.0;7181.10009765625;4448.080078125
18/08/2021;738020.0;7169.2998046875;4400.27001953125
19/08/2021;738021.0;7058.89990234375;4405.7998046875
20/08/2021;738022.0;7087.89990234375;4441.669921875
23/08/2021;738025.0;7109.0;4479.52978515625
24/08/2021;738026.0;7125.7998046875;4486.22998046875
25/08/2021;738027.0;7150.10009765625;4496.18994140625
26/08/2021;738028.0;7125.0;4470.0
27/08/2021;738029.0;7148.0;4509.3701171875
30/08/2021;738032.0;;4528.7900390625
31/08/2021;738033.0;7119.7001953125;4522.68017578125
01/09/2021;738034.0;7149.7998046875;4524.08984375
02/09/2021;738035.0;7163.89990234375;4536.9501953125
03/09/2021;738036.0;7138.39990234375;4535.43017578125
06/09/2021;738039.0;7187.2001953125;
07/09/2021;738040.0;7149.39990234375;4520.02978515625
08/09/2021;738041.0;7095.5;4514.06982421875
09/09/2021;738042.0;7024.2001953125;4493.27978515625
10/09/2021;738043.0;7029.2001953125;4458.580078125
13/09/2021;738046.0;7068.39990234375;4468.72998046875
14/09/2021;738047.0;7034.10009765625;4443.0498046875
15/09/2021;738048.0;7016.5;4480.7001953125
16/09/2021;738049.0;7027.5;4473.75
17/09/2021;738050.0;6963.60009765625;4432.990234375
20/09/2021;738053.0;6903.89990234375;4357.72998046875
21/09/2021;738054.0;6981.0;4354.18994140625
22/09/2021;738055.0;7083.39990234375;4395.64013671875
23/09/2021;738056.0;7078.39990234375;4448.97998046875
24/09/2021;738057.0;7051.5;4455.47998046875
27/09/2021;738060.0;7063.39990234375;4443.10986328125
28/09/2021;738061.0;7028.10009765625;4352.6298828125
29/09/2021;738062.0;7108.2001953125;4359.4599609375
30/09/2021;738063.0;7086.39990234375;4307.5400390625
01/10/2021;738064.0;7027.10009765625;4357.0400390625
04/10/2021;738067.0;7011.0;4300.4599609375
05/10/2021;738068.0;7077.10009765625;4345.72021484375
06/10/2021;738069.0;6995.89990234375;4363.5498046875
07/10/2021;738070.0;7078.0;4399.759765625
08/10/2021;738071.0;7095.60009765625;4391.33984375
11/10/2021;738074.0;7146.89990234375;4361.18994140625
12/10/2021;738075.0;7130.2001953125;4350.64990234375
13/10/2021;738076.0;7141.7998046875;4363.7998046875
14/10/2021;738077.0;7207.7001953125;4438.259765625
15/10/2021;738078.0;7234.0;4471.3701171875
18/10/2021;738081.0;7203.7998046875;4486.4599609375
19/10/2021;738082.0;7217.5;4519.6298828125
20/10/2021;738083.0;7223.10009765625;4536.18994140625
21/10/2021;738084.0;7190.2998046875;4549.77978515625
22/10/2021;738085.0;7204.60009765625;4544.89990234375
25/10/2021;738088.0;7222.7998046875;4566.47998046875
26/10/2021;738089.0;7277.60009765625;4574.7900390625
27/10/2021;738090.0;7253.2998046875;4551.68017578125
28/10/2021;738091.0;7249.5;4596.419921875
29/10/2021;738092.0;7237.60009765625;4605.3798828125
01/11/2021;738095.0;7288.60009765625;4613.669921875
02/11/2021;738096.0;7274.7998046875;4630.64990234375
03/11/2021;738097.0;7248.89990234375;4660.56982421875
04/11/2021;738098.0;7279.89990234375;4680.06005859375
05/11/2021;738099.0;7304.0;4697.52978515625
08/11/2021;738102.0;7300.39990234375;4701.7001953125
09/11/2021;738103.0;7274.0;4685.25
10/11/2021;738104.0;7340.2001953125;4646.7099609375
11/11/2021;738105.0;7384.2001953125;4649.27001953125
12/11/2021;738106.0;7347.89990234375;4682.85009765625
15/11/2021;738109.0;7351.89990234375;4682.7998046875
16/11/2021;738110.0;7327.0;4700.89990234375
17/11/2021;738111.0;7291.2001953125;4688.669921875
18/11/2021;738112.0;7256.0;4704.5400390625
19/11/2021;738113.0;7223.60009765625;4697.9599609375
22/11/2021;738116.0;7255.5;4682.93994140625
23/11/2021;738117.0;7266.7001953125;4690.7001953125
24/11/2021;738118.0;7286.2998046875;4701.4599609375
25/11/2021;738119.0;7310.39990234375;
26/11/2021;738120.0;7044.0;4594.6201171875
29/11/2021;738123.0;7110.0;4655.27001953125
30/11/2021;738124.0;7059.5;4567.0
01/12/2021;738125.0;7168.7001953125;4513.0400390625
02/12/2021;738126.0;7129.2001953125;4577.10009765625
03/12/2021;738127.0;7122.2998046875;4538.43017578125
06/12/2021;738130.0;7232.2998046875;4591.669921875
07/12/2021;738131.0;7339.89990234375;4686.75
08/12/2021;738132.0;7337.39990234375;4701.2099609375
09/12/2021;738133.0;7321.2998046875;4667.4501953125
10/12/2021;738134.0;7291.7998046875;4712.02001953125
13/12/2021;738137.0;7231.39990234375;4668.97021484375
14/12/2021;738138.0;7218.60009765625;4634.08984375
15/12/2021;738139.0;7170.7998046875;4709.85009765625
16/12/2021;738140.0;7260.60009765625;4668.669921875
17/12/2021;738141.0;7269.89990234375;4620.64013671875
20/12/2021;738144.0;7198.0;4568.02001953125
21/12/2021;738145.0;7297.39990234375;4649.22998046875
22/12/2021;738146.0;7341.7001953125;4696.56005859375
23/12/2021;738147.0;7373.2998046875;4725.7900390625
24/12/2021;738148.0;7372.10009765625;
27/12/2021;738151.0;;4791.18994140625
28/12/2021;738152.0;;4786.35009765625
29/12/2021;738153.0;7420.7001953125;4793.06005859375
30/12/2021;738154.0;7403.0;4778.72998046875
31/12/2021;738155.0;7384.5;4766.18017578125
03/01/2022;738158.0;;4796.56005859375
04/01/2022;738159.0;7505.2001953125;4793.5400390625
05/01/2022;738160.0;7516.89990234375;4700.580078125
06/01/2022;738161.0;7450.39990234375;4696.0498046875
07/01/2022;738162.0;7485.2998046875;4677.02978515625
10/01/2022;738165.0;7445.2998046875;4670.2900390625
11/01/2022;738166.0;7491.39990234375;4713.06982421875
12/01/2022;738167.0;7551.7001953125;4726.35009765625
13/01/2022;738168.0;7563.89990234375;4659.02978515625
14/01/2022;738169.0;7543.0;4662.85009765625
17/01/2022;738172.0;7611.2001953125;
18/01/2022;738173.0;7563.60009765625;4577.10986328125
19/01/2022;738174.0;7589.7001953125;4532.759765625
20/01/2022;738175.0;7585.0;4482.72998046875
21/01/2022;738176.0;7494.10009765625;4397.93994140625
24/01/2022;738179.0;7297.2001953125;4410.1298828125
25/01/2022;738180.0;7371.5;4356.4501953125
26/01/2022;738181.0;7469.7998046875;4349.93017578125
27/01/2022;738182.0;7554.2998046875;4326.509765625
28/01/2022;738183.0;7466.10009765625;4431.85009765625
31/01/2022;738186.0;7464.39990234375;4515.5498046875
01/02/2022;738187.0;7535.7998046875;4546.5400390625
02/02/2022;738188.0;7583.0;4589.3798828125
03/02/2022;738189.0;7528.7998046875;4477.43994140625
04/02/2022;738190.0;7516.39990234375;4500.52978515625
07/02/2022;738193.0;7573.5;4483.8701171875
08/02/2022;738194.0;7567.10009765625;4521.5400390625
09/02/2022;738195.0;7643.39990234375;4587.18017578125
10/02/2022;738196.0;7672.39990234375;4504.080078125
11/02/2022;738197.0;7661.0;4418.64013671875
14/02/2022;738200.0;7531.60009765625;4401.669921875
15/02/2022;738201.0;7608.89990234375;4471.06982421875
16/02/2022;738202.0;7603.7998046875;4475.009765625
17/02/2022;738203.0;7537.39990234375;4380.259765625
18/02/2022;738204.0;7513.60009765625;4348.8701171875
21/02/2022;738207.0;7484.2998046875;
22/02/2022;738208.0;7494.2001953125;4304.759765625
23/02/2022;738209.0;7498.2001953125;4225.5
24/02/2022;738210.0;7207.0;4288.7001953125
25/02/2022;738211.0;7489.5;4384.64990234375
28/02/2022;738214.0;7458.2998046875;4373.93994140625
01/03/2022;738215.0;7330.2001953125;4306.259765625
02/03/2022;738216.0;7429.60009765625;4386.5400390625
03/03/2022;738217.0;7238.89990234375;4363.490234375
04/03/2022;738218.0;6987.10009765625;4328.8701171875
07/03/2022;738221.0;6959.5;4201.08984375
08/03/2022;738222.0;6964.10009765625;4170.7001953125
09/03/2022;738223.0;7190.7001953125;4277.8798828125
10/03/2022;738224.0;7099.10009765625;4259.52001953125
11/03/2022;738225.0;7155.60009765625;4204.31005859375
14/03/2022;738228.0;7193.5;4173.10986328125
15/03/2022;738229.0;7175.7001953125;4262.4501953125
16/03/2022;738230.0;7291.7001953125;4357.85986328125
17/03/2022;738231.0;7385.2998046875;4411.669921875
18/03/2022;738232.0;7404.7001953125;4463.1201171875
21/03/2022;738235.0;7442.39990234375;4461.18017578125
22/03/2022;738236.0;7476.7001953125;4511.60986328125
23/03/2022;738237.0;7460.60009765625;4456.240234375
24/03/2022;738238.0;7467.39990234375;4520.16015625
25/03/2022;738239.0;7483.39990234375;4543.06005859375
28/03/2022;738242.0;7473.10009765625;4575.52001953125
29/03/2022;738243.0;7537.2998046875;4631.60009765625
30/03/2022;738244.0;7578.7998046875;4602.4501953125
31/03/2022;738245.0;7515.7001953125;4530.41015625
01/04/2022;738246.0;7537.89990234375;4545.85986328125
04/04/2022;738249.0;7558.89990234375;4582.64013671875
05/04/2022;738250.0;7613.7001953125;4525.1201171875
06/04/2022;738251.0;7587.7001953125;4481.14990234375
07/04/2022;738252.0;7551.7998046875;4500.2099609375
08/04/2022;738253.0;7669.60009765625;4488.27978515625
11/04/2022;738256.0;7618.2998046875;4412.52978515625
12/04/2022;738257.0;7576.7001953125;4397.4501953125
13/04/2022;738258.0;7580.7998046875;4446.58984375
14/04/2022;738259.0;7616.39990234375;4392.58984375
18/04/2022;738263.0;;4391.68994140625
19/04/2022;738264.0;7601.2998046875;4462.2099609375
20/04/2022;738265.0;7629.2001953125;4459.4501953125
21/04/2022;738266.0;7628.0;4393.66015625
22/04/2022;738267.0;7521.7001953125;4271.77978515625
25/04/2022;738270.0;7380.5;4296.1201171875
26/04/2022;738271.0;7386.2001953125;4175.2001953125
27/04/2022;738272.0;7425.60009765625;4183.9599609375
28/04/2022;738273.0;7509.2001953125;4287.5
29/04/2022;738274.0;7544.60009765625;4131.93017578125
02/05/2022;738277.0;;4155.3798828125
03/05/2022;738278.0;7561.2998046875;4175.47998046875
04/05/2022;738279.0;7493.5;4300.169921875
05/05/2022;738280.0;7503.2998046875;4146.8701171875
06/05/2022;738281.0;7387.89990234375;4123.33984375
09/05/2022;738284.0;7216.60009765625;3991.239990234375
10/05/2022;738285.0;7243.2001953125;4001.050048828125
11/05/2022;738286.0;7347.7001953125;3935.179931640625
12/05/2022;738287.0;7233.2998046875;3930.080078125
13/05/2022;738288.0;7418.2001953125;4023.889892578125
16/05/2022;738291.0;7464.7998046875;4008.010009765625
17/05/2022;738292.0;7518.39990234375;4088.85009765625
18/05/2022;738293.0;7438.10009765625;3923.679931640625
19/05/2022;738294.0;7302.7001953125;3900.7900390625
20/05/2022;738295.0;7390.0;3901.360107421875
23/05/2022;738298.0;7513.39990234375;3973.75
24/05/2022;738299.0;7484.39990234375;3941.47998046875
25/05/2022;738300.0;7522.7998046875;3978.72998046875
26/05/2022;738301.0;7564.89990234375;4057.840087890625
27/05/2022;738302.0;7585.5;4158.240234375
30/05/2022;738305.0;7600.10009765625;
31/05/2022;738306.0;7607.7001953125;4132.14990234375
01/06/2022;738307.0;7533.0;4101.22998046875
